game_pk,date,hp_umpire,n_challenges
824203,2026-04-25,Dan Iassogna,7
823799,2026-04-25,Scott Barry,6
824527,2026-04-25,Laz Diaz,6
823960,2026-04-25,Mike Estabrook,5
824933,2026-04-25,Emil Jimenez,3
824852,2026-04-26,Alex Tosi,3
824934,2026-04-26,Mike Muchlinski,9
822824,2026-04-26,Ramon De Jesus,7
824528,2026-04-26,Brian O'Nora,4
823635,2026-04-26,Ryan Blakney,7
823637,2026-04-26,Louie Krupa,4
822991,2026-04-26,Chad Fairchild,3
824612,2026-04-26,Ryan Wills,8
824202,2026-04-26,Jeremie Rehak,4
823797,2026-04-26,Manny Gonzalez,2
823068,2026-04-26,John Bacon,9
822911,2026-04-26,Todd Tichenor,2
825094,2026-04-26,Junior Valentine,0
823230,2026-04-26,Shane Livensparger,4
824122,2026-04-26,Alex MacKay,4
823959,2026-04-26,Malachi Moore,2
824446,2026-04-27,Jacob Metz,9
823395,2026-04-27,Chris Segal,3
822825,2026-04-27,Marvin Hudson,6
823719,2026-04-27,Gabe Morales,3
824609,2026-04-27,Hunter Wendelstedt,6
822906,2026-04-27,John Tumpane,5
823311,2026-04-27,Dan Merzel,6
823961,2026-04-27,Tripp Gibson,4
824447,2026-04-28,Tom Hanahan,3
824849,2026-04-28,Jordan Baker,4
824526,2026-04-28,Carlos Torres,2
823390,2026-04-28,Erich Bacchus,1
823473,2026-04-28,Nestor Ceja,3
822823,2026-04-28,Brennan Miller,0
823636,2026-04-28,Chad Whitson,3
824931,2026-04-28,Alan Porter,5
823716,2026-04-28,Doug Eddings,4
824610,2026-04-28,Nic Lentz,6
823798,2026-04-28,Lance Barrett,3
822908,2026-04-28,Chris Conroy,4
825017,2026-04-28,Sean Barber,4
823310,2026-04-28,Dan Bellino,6
823956,2026-04-28,Clint Vondrak,5
824445,2026-04-29,Scott Barry,1
824608,2026-04-29,Vic Carapazza,9
823717,2026-04-29,Dexter Kelley,5
822907,2026-04-29,Tyler Jones,5
822821,2026-04-29,James Jean,3
823958,2026-04-29,Austin Jones,6
823312,2026-04-29,Mark Ripperger,6
824525,2026-04-29,Nate Tomlinson,2
823392,2026-04-29,Laz Diaz,5
823633,2026-04-29,Bill Miller,1
824930,2026-04-29,Will Little,4
823796,2026-04-29,Alfonso Márquez,4
825015,2026-04-29,John Libka,1
824929,2026-04-30,Roberto Ortiz,4
824848,2026-04-30,Rob Drake,4
824850,2026-04-30,Stu Scheurwater,5
823391,2026-04-30,Brian O'Nora,7
823472,2026-04-30,Charlie Ramos,5
823471,2026-04-30,David Rackley,5
824524,2026-04-30,Bruce Dreckman,4
823634,2026-04-30,Brian Walsh,2
823795,2026-04-30,Mike Estabrook,4
825016,2026-04-30,D.J. Reyburn,3
823714,2026-04-30,Manny Gonzalez,3
824686,2026-05-01,Mike Muchlinski,3
824287,2026-05-01,Ryan Blakney,3
823389,2026-05-01,Jim Wolf,5
822744,2026-05-01,Junior Valentine,5
823557,2026-05-01,Malachi Moore,4
824772,2026-05-01,Chris Segal,1
822990,2026-05-01,John Bacon,6
823877,2026-05-01,Mark Wegner,4
823713,2026-05-01,Jacob Metz,6
823066,2026-05-01,Chris Guccione,7
824366,2026-05-01,Chad Fairchild,4
824041,2026-05-01,Ben May,3
825012,2026-05-01,Shane Livensparger,5
823309,2026-05-01,James Hoye,3
823146,2026-05-01,Adam Hamari,4
823554,2026-05-02,Lance Barrett,3
823715,2026-05-02,Tom Hanahan,4
824685,2026-05-02,Gabe Morales,6
825014,2026-05-02,Dan Merzel,5
823388,2026-05-02,Willie Traynor,3
822746,2026-05-02,Jordan Baker,4
824771,2026-05-02,Erich Bacchus,3
823876,2026-05-02,Carlos Torres,2
822988,2026-05-02,Hunter Wendelstedt,4
823067,2026-05-02,Nestor Ceja,2
824284,2026-05-02,Marvin Hudson,1
824365,2026-05-02,Chad Whitson,4
823308,2026-05-02,Sean Barber,6
824042,2026-05-02,John Tumpane,3
823144,2026-05-02,Tripp Gibson,5
823711,2026-05-03,Scott Barry,5
824769,2026-05-03,Laz Diaz,9
823387,2026-05-03,Alan Porter,8
823555,2026-05-03,Alfonso Márquez,5
822742,2026-05-03,Rob Drake,4
822987,2026-05-03,Nic Lentz,4
823875,2026-05-03,Nate Tomlinson,3
823065,2026-05-03,Charlie Ramos,6
824687,2026-05-03,Doug Eddings,3
824364,2026-05-03,Bill Miller,6
825013,2026-05-03,Dan Bellino,4
824043,2026-05-03,Chris Conroy,3
823145,2026-05-03,Clint Vondrak,5
823307,2026-05-03,John Libka,5
824285,2026-05-03,Brennan Miller,2
824363,2026-05-04,D.J. Reyburn,5
824283,2026-05-04,Dan Iassogna,3
822984,2026-05-04,David Rackley,2
823874,2026-05-04,Bruce Dreckman,3
823552,2026-05-04,Mike Estabrook,4
824684,2026-05-04,Manny Gonzalez,5
824120,2026-05-04,Vic Carapazza,3
823064,2026-05-04,Emil Jimenez,4
824201,2026-05-04,Mark Ripperger,3
824039,2026-05-04,Cory Blaser,5
823143,2026-05-04,Lance Barksdale,3
823228,2026-05-04,Todd Tichenor,2
824281,2026-05-05,Adam Beck,3
822986,2026-05-05,Chris Guccione,5
823469,2026-05-05,Malachi Moore,6
823873,2026-05-05,Roberto Ortiz,5
822743,2026-05-05,Mark Wegner,2
823553,2026-05-05,Paul Clemons,4
824682,2026-05-05,Jacob Metz,4
824119,2026-05-05,John Bacon,5
824200,2026-05-05,Shane Livensparger,2
824040,2026-05-05,Jansen Visconti,3
825092,2026-05-05,Ben May,3
823142,2026-05-05,Will Little,3
823227,2026-05-05,Adam Hamari,4
822985,2026-05-06,Nestor Ceja,4
823063,2026-05-06,Mike Muchlinski,3
824198,2026-05-06,Edwin Jimenez,3
823226,2026-05-06,Tripp Gibson,1
824036,2026-05-06,Andy Fletcher,4
823141,2026-05-06,Ryan Additon,6
824282,2026-05-06,Jonathan Parra,4
823470,2026-05-06,Lance Barrett,9
823872,2026-05-06,Alex MacKay,2
822740,2026-05-06,Carlos Torres,2
823550,2026-05-06,Quinn Wolcott,9
824683,2026-05-06,Tom Hanahan,5
824118,2026-05-06,Edwin Moscoso,8
824361,2026-05-06,James Hoye,5
825091,2026-05-06,John Tumpane,1
823551,2026-05-07,Brock Ballou,1
822741,2026-05-07,Nate Tomlinson,4
824117,2026-05-07,Nic Lentz,4
824681,2026-05-07,Scott Barry,5
824362,2026-05-07,Sean Barber,4
825090,2026-05-07,Brennan Miller,4
823467,2026-05-07,Alfonso Márquez,3
823870,2026-05-07,Willie Traynor,5
824767,2026-05-07,Tyler Jones,2
823306,2026-05-07,Alex Tosi,2
824522,2026-05-08,Jeremie Rehak,6
823466,2026-05-08,Vic Carapazza,2
824846,2026-05-08,Bruce Dreckman,6
822822,2026-05-08,Mike Estabrook,2
824768,2026-05-08,Steven Jaschinski,5
823871,2026-05-08,Charlie Ramos,6
824443,2026-05-08,Ramon De Jesus,4
824116,2026-05-08,Dexter Kelley,4
824607,2026-05-08,Dan Bellino,1
823794,2026-05-08,Alan Porter,4
822904,2026-05-08,Clint Vondrak,2
825088,2026-05-08,Ryan Wills,5
823303,2026-05-08,Cory Blaser,3
823957,2026-05-08,Chris Conroy,3
823225,2026-05-08,Manny Gonzalez,2
822820,2026-05-09,Malachi Moore,1
824847,2026-05-09,Austin Jones,2
824523,2026-05-09,David Rackley,4
823869,2026-05-09,James Jean,6
823468,2026-05-09,John Bacon,6
824444,2026-05-09,Paul Clemons,5
822905,2026-05-09,James Hoye,2
824115,2026-05-09,Gabe Morales,5
824606,2026-05-09,Mark Ripperger,2
823792,2026-05-09,Roberto Ortiz,5
825089,2026-05-09,Lance Barksdale,6
823304,2026-05-09,Jansen Visconti,4
823224,2026-05-09,Jacob Metz,5
823955,2026-05-09,Ben May,2
823868,2026-05-10,Chris Guccione,5
824845,2026-05-10,Carlos Torres,6
824765,2026-05-10,John Libka,5
823463,2026-05-10,Edwin Moscoso,3
822819,2026-05-10,Lance Barrett,4
824520,2026-05-10,Adam Beck,2
824440,2026-05-10,Quinn Wolcott,4
824605,2026-05-10,Shane Livensparger,5
823793,2026-05-10,Alex MacKay,7
822902,2026-05-10,Adam Hamari,1
823221,2026-05-10,Tom Hanahan,6
825085,2026-05-10,Will Little,5
823305,2026-05-10,Andy Fletcher,3
823954,2026-05-10,John Tumpane,4
824113,2026-05-10,Emil Jimenez,6
824441,2026-05-11,Jonathan Parra,5
824844,2026-05-11,Nic Lentz,0
822818,2026-05-11,Brian O'Nora,4
822901,2026-05-11,Alex Tosi,2
824199,2026-05-11,Dillon Wilson,1
823953,2026-05-11,Ryan Blakney,5
824442,2026-05-12,Jeremie Rehak,3
824843,2026-05-12,Hunter Wendelstedt,4
824521,2026-05-12,Mike Muchlinski,6
823385,2026-05-12,Brock Ballou,3
824764,2026-05-12,Dan Merzel,2
822817,2026-05-12,Chris Segal,4
823632,2026-05-12,Stu Scheurwater,6
824927,2026-05-12,Tyler Jones,5
824604,2026-05-12,Chris Conroy,3
823712,2026-05-12,Scott Barry,4
823790,2026-05-12,Ryan Additon,5
822903,2026-05-12,Cory Blaser,2
824197,2026-05-12,Jim Wolf,6
825011,2026-05-12,Chad Fairchild,3
823951,2026-05-12,Brian Walsh,5
824841,2026-05-13,Edwin Moscoso,4
824438,2026-05-13,Dan Iassogna,5
824519,2026-05-13,Dexter Kelley,7
823386,2026-05-13,Ramon De Jesus,4
824763,2026-05-13,Dan Bellino,2
822815,2026-05-13,Erich Bacchus,6
823631,2026-05-13,Junior Valentine,6
824928,2026-05-13,Sean Barber,6
824603,2026-05-13,Jen Pawol,5
823710,2026-05-13,Manny Gonzalez,7
823791,2026-05-13,Ryan Wills,4
822900,2026-05-13,Jansen Visconti,5
824195,2026-05-13,Roberto Ortiz,6
825010,2026-05-13,Chad Whitson,3
823952,2026-05-13,James Jean,1
823383,2026-05-14,Paul Clemons,2
824517,2026-05-14,Doug Eddings,6
823630,2026-05-14,Jordan Baker,3
823709,2026-05-14,Tom Hanahan,4
823789,2026-05-14,Lance Barksdale,5
824196,2026-05-14,Willie Traynor,10
825008,2026-05-14,Felix Neon,12
824762,2026-05-14,Mark Ripperger,3
824926,2026-05-14,John Libka,2
824602,2026-05-14,Ben May,5
823950,2026-05-14,Marvin Hudson,4
823384,2026-05-15,Emil Jimenez,3
822739,2026-05-15,John Tumpane,2
824280,2026-05-15,Shane Livensparger,3
824439,2026-05-15,James Hoye,7
822983,2026-05-15,Quinn Wolcott,0
823707,2026-05-15,Rob Drake,4
824925,2026-05-15,Vic Carapazza,4
823629,2026-05-15,Adam Beck,4
